"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1021938,"December 31, 2017",Alabama,Selma,"1700 block of Water Ave",0,2,N/A
1021362,"December 31, 2017",Texas,Kilgore,"1910 Meadowgreen Dr",1,0,N/A
1018010,"December 31, 2017",Alabama,Huntsville,"1409 Lancewood Dr NW",0,1,N/A
1023659,"December 31, 2017","North Carolina",Elizabethtown,"968 Jacobs Loop Rd",0,1,N/A
1017993,"December 31, 2017",Georgia,Atlanta,"Glenwood Ave",0,1,N/A
1020019,"December 31, 2017",Washington,Marysville,"5115 84th St NE",0,0,N/A
1017947,"December 31, 2017",Michigan,Ypsilanti,"Cliffs Dr",1,0,N/A
1017986,"December 31, 2017",Texas,Lubbock,"6002 Slide Rd",0,0,N/A
1018774,"December 31, 2017",Virginia,Chesapeake,"600 block of Happy Acres",0,1,N/A
1018059,"December 31, 2017",Alaska,Anchorage,"1000 block of W 26th Ave",0,0,N/A
1018763,"December 31, 2017",Arkansas,Fayetteville,"3215 N Northhills Blvd",0,0,N/A
1017868,"December 31, 2017",Oklahoma,"Oklahoma City","1111 S Eastern Ave",0,1,N/A
1017484,"December 31, 2017",Florida,Orlando,"I-4 and Kirkman Rd",0,3,N/A
1017977,"December 31, 2017",Minnesota,"Stillwater (Oak Park Heights)","14800 block of 57th St N",0,0,N/A
1052098,"December 31, 2017",Texas,"San Antonio","1600 block of Mardell St",1,0,N/A
1161485,"December 31, 2017",Arkansas,"North Little Rock","5612 John F Kennedy Blvd",0,0,N/A
1078962,"December 31, 2017","North Carolina",Engelhard,"N Lake Rd",0,0,N/A
1019108,"December 31, 2017",Colorado,Denver,"214 S Federal Blvd",1,0,N/A
1017997,"December 31, 2017",Missouri,Florissant,"11300 block of Bristol Rock Rd",1,0,N/A
1017788,"December 31, 2017","New York",Brooklyn,"E 15th St and Ave S",0,1,N/A
1031302,"December 31, 2017",California,Northridge,"8644 Balboa Blvd",1,0,N/A
1025819,"December 31, 2017","South Carolina",Florence,"500 S Ballard St",1,0,N/A
1019944,"December 31, 2017",California,"San Diego","Teak St and S 38th Street",1,0,N/A
1018459,"December 31, 2017",Missouri,Columbia,"1612 N Providence Rd",0,0,N/A
