"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2080627,"August 2, 2021",Missouri,"Kansas City","1600 Citadel Dr",2,0,N/A
2080618,"August 2, 2021","New York","Central Islip","65 Carleton Ave",1,0,N/A
2080564,"August 2, 2021",Illinois,Chicago,"13100 block of S Eberhart Ave",1,0,N/A
2080560,"August 2, 2021",Illinois,Chicago,"1400 block of W Division St",1,0,N/A
2080435,"August 1, 2021",Texas,Houston,"2331 Bammelwood Dr",1,0,N/A
2080419,"August 1, 2021",Maryland,"Temple Hills","6600 block of Summerhill Rd",1,1,N/A
2080411,"August 1, 2021",Indiana,Indianapolis,"4100 block of E 35th St",2,0,N/A
2080398,"August 1, 2021",Virginia,Lynchburg,"1800 block of Park Ave",1,0,N/A
2080375,"August 1, 2021",Alabama,Montgomery,"5400 block of Atlanta Highway",1,0,N/A
2080306,"August 1, 2021",Louisiana,"Ville Platte","505 Tate Cove Rd",1,1,N/A
2080304,"August 1, 2021",Ohio,Columbus,"6800 block of Cleveland Ave",1,0,N/A
2080275,"August 1, 2021",Illinois,Rockford,"300 block of W State St",1,1,N/A
2080218,"August 1, 2021",Nebraska,Omaha,"Ohio St and N 43rd St",1,1,N/A
2080198,"August 1, 2021","New Jersey",Trenton,"818 Stuyvesant Ave",1,0,N/A
2080196,"August 1, 2021","North Carolina",Monroe,"S West St",1,0,N/A
2080191,"August 1, 2021","New Jersey","Atlantic City","N California Ave and Arctic Ave",1,0,N/A
2080174,"August 1, 2021","North Carolina","Roanoke Rapids","1000 block of Burton St",1,1,N/A
2079957,"August 1, 2021","New York",Brooklyn,"1556 Ralph Ave",1,0,N/A
2080125,"August 1, 2021",Kentucky,Louisville,"1000 block of Bardstown Rd",1,0,N/A
2079965,"August 1, 2021","New York",Brooklyn,"Utica Ave and Sterling Pl",1,0,N/A
2079961,"August 1, 2021","New York",Bronx,N/A,1,0,N/A
2079920,"August 1, 2021",Louisiana,"New Orleans","1600 block of Iberville St",1,3,N/A
2079874,"August 1, 2021",Illinois,Chicago,"2700 block of W Jackson Blvd",1,1,N/A
2079869,"August 1, 2021",Illinois,Chicago,"7200 block of S Bennett Ave",1,0,N/A
2079841,"August 1, 2021",Georgia,Atlanta,"1657 Lakewood Ave",1,0,N/A
2080140,"August 1, 2021",Wisconsin,Milwaukee,"1307 S 9th St",1,0,N/A
2079743,"August 1, 2021",California,"Los Angeles","1200 block of S McDonnell Ave",1,0,N/A
2080603,"August 1, 2021",Indiana,Indianapolis,"3700 block of E New York St",1,0,N/A
2079724,"August 1, 2021",Florida,Jacksonville,"3225 Southside Blvd",1,2,N/A
2080250,"August 1, 2021",Georgia,Macon,"3661 Eisenhower Pkwy",1,0,N/A
2080577,"August 1, 2021",Pennsylvania,Philadelphia,"9500 block of Clark St",1,0,N/A
2080557,"August 1, 2021",Illinois,Chicago,"12100 block of S LaSalle St",1,0,N/A
2080534,"August 1, 2021","Rhode Island",Providence,"Olney St and Brown St",1,0,N/A
2079701,"August 1, 2021",Indiana,Indianapolis,"934 N Pennsylvania St",1,0,N/A
2080485,"August 1, 2021",California,Lancaster,"200 block of Pillsbury St",1,0,N/A
2080390,"August 1, 2021",Texas,Nacogdoches,"1400 block of Dolph St",1,3,N/A
2080455,"August 1, 2021",Texas,Austin,"1400 block of E 38 1/2 St",1,0,N/A
2080445,"August 1, 2021",Texas,Killeen,"3900 Trimmier Rd",1,0,N/A
2079531,"July 31, 2021",Louisiana,"New Orleans","Lake Forest Blvd and Read Blvd",1,0,N/A
2079044,"July 31, 2021",Ohio,Columbus,"1662 W Mound St",1,5,N/A
2080301,"July 31, 2021",Michigan,"Benton Harbor","105 S Fair Ave",1,1,N/A
2080311,"July 31, 2021","New Mexico",Albuquerque,"6000 block of Anderson Ave SE",1,0,N/A
2079389,"July 31, 2021",Texas,"Harker Heights","400 block of Brittney Way",1,0,N/A
2079359,"July 31, 2021",Missouri,"Kansas City","5200 block of E 28th Terrace Ave",1,1,N/A
2079326,"July 31, 2021",California,Fresno,"E Butler Ave and S Recreation Ave",1,0,N/A
2079262,"July 31, 2021",Colorado,Denver,"N Quitman St and W Ellsworth Ave",1,0,N/A
2079213,"July 31, 2021","New York",Bronx,"3240 3rd Ave",1,0,N/A
2079237,"July 31, 2021",Maryland,"Hyattsville (Landover)","1800 block of Ryderwood Ct",1,0,N/A
2079242,"July 31, 2021",Maryland,Hyattsville,"6700 block of 22nd Pl",1,1,N/A
2080248,"July 31, 2021",Illinois,Chicago,"2700 block of W Latrobe St",1,0,N/A
2080245,"July 31, 2021","District of Columbia",Washington,"700 block of O St NW",1,1,N/A
2079423,"July 31, 2021",Missouri,"Saint Louis","2500 block of N Grand Blvd",1,0,N/A
2079204,"July 31, 2021",Mississippi,Amory,"931 True Temper Cir",1,0,N/A
2079477,"July 31, 2021",Missouri,"Saint Louis","2100 block of Old Manor Rd",1,0,N/A
2080200,"July 31, 2021",Missouri,"Kansas City","E 40th St and Wabash Ave",1,0,N/A
2079179,"July 31, 2021",Minnesota,Austin,"100 block of 10th St NW",1,0,N/A
2079460,"July 31, 2021","North Carolina",Raleigh,"700 block of Rock Quarry Rd",1,0,N/A
2080006,"July 31, 2021",Michigan,Saginaw,"2700 block of Lynnwood Ave",2,2,N/A
2079539,"July 31, 2021",Tennessee,Sevierville,"175 Gists Creek Rd",1,1,N/A
2079064,"July 31, 2021",Ohio,Columbus,"2119 Via Da Vinci St",1,0,N/A
2080021,"July 31, 2021",Colorado,"Aurora (Centennial)","5200 block of S Jericho St",1,0,N/A
2080024,"July 31, 2021","South Carolina","West Columbia","800 block of Osage Ave",1,0,N/A
2079968,"July 31, 2021",California,Carlsbad,"3300 Eureka Place",1,1,N/A
2079371,"July 31, 2021",Louisiana,Slidell,"301 Spartan Dr",1,0,N/A
2079025,"July 31, 2021",Texas,"El Paso","2309 Villa Plata Dr",1,0,N/A
2079002,"July 31, 2021",Texas,Dallas,"7300 block of Elam Rd",1,0,N/A
2079395,"July 31, 2021",Georgia,Hinesville,"601 Saunders Ave",1,0,N/A
2079284,"July 31, 2021",California,Fresno,"N Cornelia Ave and W Dakota Ave",1,1,N/A
2079824,"July 31, 2021",California,Fresno,"Bardell Ave and Calwa Ave",1,0,N/A
2078967,"July 31, 2021",Indiana,Indianapolis,"5900 block of Coquina Key Dr",1,0,N/A
2079818,"July 31, 2021",Florida,"Saint Petersburg","100 block of 60th St S",1,0,N/A
2079404,"July 31, 2021",Arizona,Tucson,"700 block of S Mountvale Dr",1,0,N/A
2079745,"July 31, 2021",California,"Riverside (Jurupa Valley)","5000 block of Rubidoux Blvd",1,0,N/A
2079739,"July 31, 2021",Illinois,Chicago,"11600 block of S Peoria St",1,2,N/A
2079731,"July 31, 2021",Florida,Yulee,"Diamond St",1,0,N/A
2079293,"July 31, 2021",Illinois,Chicago,"700 block of N Ridgeway Ave",1,0,N/A
2079699,"July 31, 2021",Washington,Spokane,"400 block of W. Sprague Ave",1,0,N/A
2080530,"July 31, 2021",Alabama,Piedmont,"1200 block of Law Martin Rd",2,0,N/A
2079626,"July 31, 2021",Washington,"Moses Lake","8000 block of Road 18 NE",2,0,N/A
2079357,"July 31, 2021","New Mexico","Las Cruces","1800 block of Chaparro St",1,0,N/A
2080472,"July 31, 2021",Texas,Midland,"Parkway Dr and Hollandale Dr",1,0,N/A
2080469,"July 31, 2021",California,"Porterville (Woodville)",N/A,1,0,N/A
2080463,"July 31, 2021",Texas,Gladewater,"288 Private Rd 1016",1,1,N/A
2079338,"July 31, 2021","North Carolina",Charlotte,"8615 Hankins Rd",1,0,N/A
2079695,"July 31, 2021",Arkansas,"Little Rock","13500 Chenal Pkwy",1,0,N/A
2079578,"July 31, 2021",Oregon,Portland,"1509 NE 181st Ave",1,0,N/A
2079090,"July 31, 2021",Texas,Killeen,"4300 S Fort Hood St",1,1,N/A
2079004,"July 30, 2021",Texas,Celina,"100 block of S Alabama St",1,0,N/A
2078642,"July 30, 2021",Washington,Seattle,"2800 block of SW Roxbury St",1,0,N/A
2079440,"July 30, 2021",Texas,Katy,"2718 Roaring Oaks Ln",1,2,N/A
2079416,"July 30, 2021",Kansas,"Kansas City","N 72nd St and Splitlog Ave",1,0,N/A
2078704,"July 30, 2021","North Carolina",Garner,"800 block of US 70",1,0,N/A
2078711,"July 30, 2021",California,"San Francisco","100 block of Bertha Ln",1,1,N/A
2078603,"July 30, 2021","South Carolina",Florence,"3100 block of Hoffmeyer Rd",1,1,N/A
2078352,"July 30, 2021",Texas,Belton,"1100 Shady Ln",1,0,N/A
2079233,"July 30, 2021",Maryland,Hyattsville,"1900 block of Village Green Dr",2,1,N/A
2080205,"July 30, 2021","New Jersey",Trenton,"50 block of Kelsey Ave",1,0,N/A
2079181,"July 30, 2021",Georgia,Atlanta,"330 Brownlee Rd SW",1,0,N/A
2078506,"July 30, 2021",Georgia,Macon,"7458 Bethel Church Rd",1,0,N/A
2078954,"July 30, 2021",Wisconsin,Milwaukee,"4601 N 38th St",1,0,N/A
2079154,"July 30, 2021",Illinois,Champaign,"800 block of N Willis Ave",1,0,N/A
2078621,"July 30, 2021",Ohio,Cincinnati,"2100 block of Storrs St",1,1,N/A
2078667,"July 30, 2021",Ohio,Columbus,"770 S Broadleigh Rd",1,0,N/A
2078751,"July 30, 2021",Washington,"Federal Way","35300 block of 21st Ave SW",1,0,N/A
2078176,"July 30, 2021",Indiana,Indianapolis,"3000 block of N Capitol Ave",1,0,N/A
2078309,"July 30, 2021",California,"Bell Gardens","6500 block of Eastern Ave",1,0,N/A
2078513,"July 30, 2021",Oklahoma,Tulsa,"6119 E 11th St",1,0,N/A
2078884,"July 30, 2021",Mississippi,Jackson,"Highland Dr and Raymond Rd",1,0,N/A
2079615,"July 30, 2021",Florida,"Fort Lauderdale","4411 SW 32 Ave",2,0,N/A
2078634,"July 30, 2021",Colorado,Aurora,"18500 block of E Kansas Pl",1,1,N/A
2078606,"July 29, 2021",Virginia,Madison,"100 block of Moonlight Dr",1,0,N/A
2077918,"July 29, 2021",Illinois,Carpentersville,"27 Oxford Dr",1,0,N/A
2080403,"July 29, 2021",Mississippi,Greenville,"568 JoAnn Cir",1,0,N/A
2077892,"July 29, 2021",Maryland,Baltimore,"700 block of East 22nd St",1,1,N/A
2077889,"July 29, 2021",Florida,Hollywood,"6200 block of Jefferson St",1,0,N/A
2077887,"July 29, 2021",Maryland,Baltimore,"1600 block of Cliftview Ave",1,0,N/A
2078462,"July 29, 2021",Illinois,Urbana,"306 W Main St",1,0,N/A
2077855,"July 29, 2021",Florida,Homestead,"1500 E Mowry Dr",1,1,N/A
2077853,"July 29, 2021",Kansas,"Kansas City","1100 block of Freeman Ave",1,0,N/A
2080344,"July 29, 2021",Tennessee,Memphis,"1900 Block of Asa Dr",1,0,N/A
2077479,"July 29, 2021",Connecticut,Hartford,"Enfield St and Greenfield St",1,0,N/A
2077797,"July 29, 2021",Illinois,Chicago,"6500 block of S Peoria St",1,0,N/A
2078384,"July 29, 2021",Wisconsin,Kenosha,"19th Ave and 52nd St",1,0,N/A
2078019,"July 29, 2021",Ohio,Mansfield,"300 Wood St",1,0,N/A
2078399,"July 29, 2021",Texas,"San Antonio","12755 Scarsdale",1,0,N/A
2078068,"July 29, 2021","North Carolina",Wilmington,"800 block of S 14th St",1,1,N/A
2077686,"July 29, 2021",Virginia,Hopewell,"2000 block of Berry St",1,0,N/A
2078042,"July 29, 2021","North Carolina","Saint Pauls","885 N Alford Rd",1,0,N/A
2077995,"July 29, 2021",Oklahoma,Pawnee,"348751 E 5000 Rd",2,0,N/A
2077663,"July 29, 2021",Louisiana,Kenner,"3100 block of Tifton St",1,0,N/A
2078115,"July 29, 2021","New Jersey",Trenton,"1400 block of Stuyvesant Ave",1,0,N/A
2077725,"July 29, 2021",Wisconsin,Milwaukee,"2862 N 34th St",1,0,N/A
2077621,"July 29, 2021",California,Visalia,"Caldwell Ave and Mooney Blvd",1,1,N/A
2078675,"July 29, 2021",Ohio,Cleveland,"3500 block of  E 146th St",1,0,N/A
2078307,"July 29, 2021",California,"Los Angeles","11400 block of S Vermont Ave",1,0,N/A
2077469,"July 29, 2021","New Mexico",Albuquerque,"1720 Central Ave SE",1,0,N/A
2078593,"July 29, 2021",Indiana,Anderson,"1600 block of W 9th St",1,0,N/A
2078243,"July 29, 2021",Georgia,Atlanta,"3450 Martin Luther King Jr Dr SW",1,0,N/A
2078231,"July 29, 2021",Connecticut,Hartford,"22 Elliott St",1,1,N/A
2078235,"July 29, 2021",Georgia,Americus,"600 block of Winn St",1,0,N/A
2078276,"July 29, 2021",Indiana,Seymour,"7700 block of N County Rd 875 E",1,0,N/A
2078203,"July 29, 2021",Illinois,Anderson,"1600 block of W 9th St",1,0,N/A
2077356,"July 29, 2021",Illinois,Chicago,"1600 block of W Waseca Pl",1,1,N/A
2078198,"July 29, 2021",Indiana,Indianapolis,"W 47th St and Georgetown Rd",1,0,N/A
2077768,"July 29, 2021",Illinois,Chicago,"6100 block of S Carpenter St",1,0,N/A
2078121,"July 29, 2021",Texas,Katy,"2700 block of Roaring Oaks Ln",1,2,N/A
2078094,"July 29, 2021",Pennsylvania,Braddock,"1200 block of Rebecca Ave",1,0,N/A
2078851,"July 29, 2021",Ohio,Columbus,"1509 Lockbourne Rd",1,0,N/A
2078849,"July 29, 2021",Ohio,Columbus,"1425 N Cassady Ave",1,0,N/A
2078052,"July 29, 2021",Ohio,Cincinnati,"Pellston Ct and Kemper Meadow Dr",1,0,N/A
2077522,"July 29, 2021",Massachusetts,Boston,"Corinth St and Birch st",1,0,N/A
2077954,"July 29, 2021",Mississippi,Laurel,"100 block of N 17th Ave",1,0,N/A
2078033,"July 29, 2021",Alabama,Enterprise,"571 Co Rd 539",1,1,N/A
2077587,"July 29, 2021",Pennsylvania,Pittsburgh,"239 Gilkeson Rd",3,2,N/A
2079680,"July 29, 2021",Louisiana,"Lake Charles","1000 block of 13th St",1,0,N/A
2079588,"July 29, 2021",Louisiana,"New Orleans","3400 Franklin Ave",1,0,N/A
2078118,"July 29, 2021","New York",Rochester,"98 Lyell Ave",1,1,N/A
2077140,"July 28, 2021",Louisiana,"Baton Rouge","100 block of  N 13th St",1,2,N/A
2076889,"July 28, 2021","South Carolina",Charleston,"Hanover St and Johnson St",1,4,N/A
2077160,"July 28, 2021",Missouri,"Saint Louis","5100 block of Wabada Ave",1,0,N/A
2077094,"July 28, 2021","North Carolina","Mc Leansville (Mcleansville)","3400 block of Anderson Valley Rd",1,0,N/A
2076731,"July 28, 2021",Michigan,"Battle Creek","74 Rambling Lane",1,1,N/A
2076997,"July 28, 2021",Michigan,Muskegon,US-31,1,0,N/A
2077057,"July 28, 2021",California,"Los Angeles","8300 block of Figueroa St",1,0,N/A
2077517,"July 28, 2021",Louisiana,Minden,"700 block of Plum St",1,0,N/A
2077688,"July 28, 2021",Louisiana,Arcadia,"3011 2nd St",1,0,N/A
2077324,"July 28, 2021",Wisconsin,Milwaukee,"2355 S 9th St",1,1,N/A
2077033,"July 28, 2021",Tennessee,Knoxville,"1930 Natchez Ave SE",1,1,N/A
2076787,"July 28, 2021",Georgia,"Stone Mountain","3232 Juhan Rd SW",1,0,N/A
2078311,"July 28, 2021",California,"Los Angeles","400 block of W 95th St",1,0,N/A
2077549,"July 28, 2021",Alabama,Montgomery,"1800 block of Rosa Parks Ave",1,3,N/A
2077530,"July 28, 2021",Louisiana,Shreveport,"3300 block of W Caperton St",1,0,N/A
2076686,"July 28, 2021",Minnesota,Minneapolis,"W 48th St and Aldrich Ave S",1,0,N/A
2077617,"July 28, 2021",Georgia,Norcross,"1405 Beaver Ruin Rd",1,0,N/A
2076643,"July 28, 2021",Illinois,"North Chicago","1700 block of Park Ave",1,0,N/A
2076846,"July 28, 2021","District of Columbia",Washington,"200 block of Mississippi Ave SE",1,0,N/A
2076600,"July 28, 2021",Florida,"Deerfield Beach","NE 40th St and NE 6th Ave",1,2,N/A
2077556,"July 28, 2021","New Mexico","Santa Fe","92 Haozous Rd",1,1,N/A
2080298,"July 28, 2021",Arizona,Tucson,"1700 block of E Prince Rd",1,0,N/A
2078219,"July 28, 2021",Florida,Casselberry,"N Winter Park Dr",1,0,N/A
2078743,"July 28, 2021",Pennsylvania,Richfield,"Palmer Ln",1,0,N/A
2077030,"July 28, 2021",Illinois,Chicago,"3946 W 16th St",1,1,N/A
2078147,"July 28, 2021",Washington,Puyallup,"16918 Meridian Ave E",1,0,N/A
2077246,"July 28, 2021",Pennsylvania,York,"200 block of Green St",1,0,N/A
2077779,"July 28, 2021",Kentucky,Hopkinsville,"Sharpe St",1,0,N/A
2078039,"July 28, 2021",Ohio,Elyria,"800 W River Rd N",1,0,N/A
2078414,"July 28, 2021",Tennessee,Morristown,"1100 block of Clover Dale Ln",1,0,N/A
2078002,"July 28, 2021",Alabama,Brookhaven,"Hwy 82 E",1,0,N/A
